Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Estimates Start After
Germany,n/a,39.537,42.019,45.767,47.968,55.597,58.467,59.754,60.491,61.257,60.182,59.142,60.748,64.426,66.204,68.514,67.923,65.007,66.449,74.143,83.964,82.643,2010
Ghana,31.979,27.7,33.468,55.813,86.467,95.147,78.419,75.338,66.443,86.689,123.346,101.504,86.66,82.813,57.426,48.16,26.217,31.044,33.593,36.22,37.384,38.13,2009
Greece,73.316,74.847,80.144,100.51,98.512,99.209,101.603,98.736,96.581,102.509,103.442,103.716,101.451,97.27,98.844,100.291,106.107,105.412,110.721,127.1,142.757,165.559,2010
Grenada,n/a,n/a,n/a,n/a,n/a,n/a,44.615,41.827,40.398,34.538,41.649,44.701,79.119,79.831,95.54,87.921,93.27,89.275,83.549,98.201,98.638,101.92,2010
Guatemala,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,19.015,20.187,18.35,20.892,21.425,20.757,21.651,21.339,20.02,22.949,24.193,24.22,n/a
Guinea,99.627,98.586,86.265,95.88,99.175,92.571,92.986,93.483,105.865,127.874,118.726,113.42,103.55,112.64,119.755,150.231,137.071,92.383,88.95,77.008,88.562,85.475,2009
Guinea-Bissau,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,227.689,218.555,242.268,234.989,238.346,218.246,217.524,187.48,157.647,163.762,48.966,45.077,2009
Guyana,n/a,n/a,n/a,n/a,n/a,n/a,n/a,130.208,135.74,121.065,120.19,129.66,131.319,119.483,118.167,115.681,93.102,59.987,61.594,61.248,60.179,60.433,2010
Haiti,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,44.729,49.598,54.41,60.877,49.95,47.194,39.048,34.781,37.797,27.668,17.072,12.603,2009
Honduras,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,72.278,69.498,69.754,70.813,61.657,48.236,31.707,19.68,19.921,24.118,26.342,27.561,2010
Hong Kong SAR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,25.088,27.209,28.582,32.29,33.821,33.043,32.818,30.61,33.17,34.607,33.812,2010
Hungary,n/a,n/a,n/a,n/a,n/a,n/a,0,60.879,58.888,59.888,54.555,51.914,55.39,58.226,59.017,61.821,65.708,66.082,72.314,78.384,80.197,76.124,2010
Iceland,36.222,38.391,46.243,53.137,55.662,58.943,56.296,53.076,47.859,43.409,41.038,45.886,42.069,40.831,34.453,25.391,30.128,29.108,70.279,88.154,92.372,101.196,n/a
India,n/a,73.87,74.291,74.424,71.374,67.767,64.424,65.649,65.759,68.043,71.817,76.249,80.581,81.695,80.997,78.688,75.417,72.691,73.113,69.405,64.117,62.432,2010
Indonesia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,95.1,80.161,67.802,60.519,55.826,46.346,40.425,36.852,33.238,28.648,27.434,25.244,2010
Islamic Republic of Iran,n/a,n/a,n/a,n/a,n/a,n/a,15.955,15.46,19.034,15.006,12.501,11.834,14.608,13.421,11.75,10.355,9.226,7.734,7.088,8.852,11.644,9.229,2010
Iraq,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,356.33,221.201,180.973,110.444,144.074,119.551,42.332,2010
Ireland,93.493,94.612,91.386,94.213,88.815,81.198,72.7,63.672,53.044,47.984,37.465,35.198,31.912,30.729,29.129,27.057,24.711,24.936,44.356,65.245,94.924,109.273,2010
Israel,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,85.401,90.196,97.326,100.182,98.797,94.405,84.903,78.101,77.065,80.658,77.422,71.146,2008
Italy,94.65,98.04,105.202,115.589,121.842,121.55,120.894,118.06,114.938,113.704,109.169,108.786,105.688,104.417,103.902,105.941,106.646,103.618,106.305,116.066,118.995,121.065,2010
Jamaica,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,83.719,92.385,108.854,118.865,123.642,120.566,119.995,117.138,114.243,126.078,141.354,143.357,143.308,2010
Japan,68.044,67.483,72.284,78.421,84.591,92.433,100.327,107.126,120.088,133.793,142.059,151.691,160.948,167.183,178.064,191.641,191.339,187.654,194.998,216.348,220.002,233.1,2009
Jordan,219.734,200.631,149.749,136.95,126.34,114.818,113.543,106.855,109.585,108.013,100.479,96.478,99.719,99.644,91.823,84.304,76.326,73.763,60.247,64.513,66.809,68.479,2010
Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17.592,14.893,11.392,8.099,6.667,5.93,6.661,10.227,10.683,12.901,2010
Kenya,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,57.736,56.741,55.585,54.716,62.545,63.782,57.933,53.521,49.94,48.88,49.169,50.675,52.333,55.176,2010
Korea,13.812,12.881,12.635,11.84,10.595,9.365,8.604,10.731,15.355,17.598,18.02,18.7,18.56,21.617,24.633,28.659,31.118,30.656,30.108,33.765,33.444,32.02,2010
Kuwait,1.093,203.364,121.848,112.721,114.531,91.253,85.615,59.197,59.496,50.827,35.429,36.333,32.243,24.537,18.55,14.087,10.532,11.448,9.986,12.867,10.449,8.057,2009
Kyrgyz Republic,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,122.272,107.315,106.866,106.896,92.909,85.94,72.499,56.805,48.458,57.987,62.638,55.202,2010
Lao People's Democratic Republic,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,111.453,112.14,106.069,92.928,83.813,71.392,63.345,59.872,62.151,62.046,57.355,2009
Latvia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12.223,12.266,13.987,13.466,14.608,14.419,11.771,9.861,7.762,17.087,32.829,39.894,39.566,2010
Lebanon,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,146,160.411,160.434,166.21,164.643,175.951,179.894,167.745,156.327,146.462,134.065,126.361,2010
Lesotho,20.032,13.455,72.767,80.7,76.734,72.788,80.951,75.048,92.072,95.41,101.187,126.091,93.359,62.639,55.844,60.851,63.213,58.902,52.072,38.393,34.068,38.235,2008
Liberia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,789.83,831.636,816.652,1093.467,979.51,863.097,790.532,600.093,379.743,194.049,13.418,13.279,2009
Libya,73.559,67.039,64.843,72.846,78.55,75.043,68.24,63.074,62.422,52.392,43.268,40.643,29.579,24.276,1.423,1.04,0.854,0,0,0,0,n/a,2010
Lithuania,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,23.704,22.823,22.261,21.148,19.398,18.47,18.043,16.923,15.585,29.616,38.66,42.824,2010
Luxembourg,n/a,n/a,n/a,n/a,n/a,n/a,7.448,7.401,7.096,6.427,6.165,6.308,6.324,6.213,6.349,6.068,6.68,6.674,13.608,14.553,18.417,19.656,2010
Former Yugoslav Republic of Macedonia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,32.019,47.916,48.798,42.916,37.918,35.637,39.538,31.992,23.981,20.641,23.825,24.633,26.298,2010
Madagascar,124.675,141.814,138.39,127.697,151.896,151.918,119.485,136.341,132.636,131.62,127.434,113.25,118.669,100.991,91.673,82.588,41.412,34.628,30.386,33.744,34.042,36.393,2010
Malawi,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,154.609,168.476,149.956,141.175,36.4,35.377,44.562,43.43,37.409,40.477,2010
Malaysia,79.536,72.23,63.419,54.864,46.911,40.95,35.159,31.781,36.09,36.868,35.31,41.35,43.056,45.083,45.7,44.44,43.159,42.71,42.754,55.356,54.204,55.12,2010
Maldives,0,0,0,0,0,0,0,30.902,31.927,31.259,31.834,33.868,36.381,33.003,31.108,39.768,35.757,35.439,37.213,52.242,59.288,62.884,2009
Mali,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,104.929,91.641,54.205,49.011,46.203,52.887,20.288,21.712,21.595,24.197,29.616,30.025,2009
Malta,n/a,n/a,n/a,n/a,n/a,35.301,40.093,48.439,53.425,57.146,55.896,62.093,60.099,69.255,71.855,69.44,64.162,61.774,61.276,67.256,67.149,66.264,2009
Mauritania,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,280.45,267.664,235.468,216.419,209.342,182.066,86.755,96.853,90.644,101.467,86.16,61.964,n/a
Mauritius,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,45.297,44.801,52.532,59.103,51.697,53.53,51.014,47.283,43.972,54.084,50.474,51.889,2010
